X,Y,OBJECTID,NUMMER,LAGE,KAPAZITAET,KOSTEN,BEMERKUNG
1438895.06856894,6591901.20648922,1,1,"Bahnhofstraße, Stefan-Heym-Platz",2,kostenfrei max. ½ Stunde,
1439622.51898343,6595188.73144337,2,2,"Christian-Wehner-Straße, Gewerbegebiet",15,kostenfrei,
1438912.74669845,6593191.06282779,3,3,"Georgstraße, Busbahnhof",nach Absprache,nach Absprache,Absprache/Zustimmung notwendig
1437380.5234455,6592624.44837071,4,4,"Hartmannstraße, Richard-Hartmann-Platz",30,nach Absprache,"Absprache/Antrag notwendig, mögliche Nutzung von Strom- und Wasserversorgung"
1434021.14001287,6589141.43446218,5,5,"Neefestraße, Messe Chemnitz / Chemnitz Arena",40,nach Absprache,Absprache/Antrag notwendig
1435377.10115089,6594968.02248276,6,6,"Wittgensdorfer Straße, Parkplatz Eissportzentrum",40,"nach Absprache	",Absprache/Antrag notwendig
1436178.29770585,6588604.04462803,7,7,"Parkstraße, In Höhe Hausnr. 58 (Villa Esche)",7,kostenfrei,
1437831.44987282,6593190.65181855,8,8,"Promenadenstraße, Abschnitt zwischen Erich-Schmidt-Straße und Arndtplatz",6,"kostenpflichtig, Gebührenzone II","nahegelegenes Erholungsgebiet, Toilette im Umfeld vorhanden"
1438879.4129868,6592856.15207409,9,9,"Richard-Tauber-Straße, gegenüber Hotel Chemnitzer Hof",2,"kostenfrei, max. 2h","mit Parkscheibe, Toilette im Umfeld vorhanden"
1437801.70432888,6594274.28759199,10,10,"Salzstraße, Hausnr. 56 (Hotel c/o 56, ehemals Penta)",2,kostenfrei,
1438746.2743977,6592957.53996288,11,11,"Schillerplatz, Richard-Tauber-Straße/ Karl-Liebknecht-Straße",10,nur Ein- und Ausstieg,
1437746.58623757,6591607.29906029,12,12,"Theaterstraße, landwärts ggü. Getreidemarkt/ Höhe Pfortensteg",2,kostenfrei,vorrangig für Jugendherberge vorgesehen
1437983.98785991,6592099.75267815,13,13,"Theaterstraße/ Börnichgasse, Bushaltestelle Innere Klosterstraße",2,nur Ein- und Ausstieg,eingeschränktes Halteverbot
1438711.24765413,6587090.12189134,14,14,"Werner-Seelenbinder-Straße, Betriebshof der CVAG","nach Absprache	",nach Absprache,Absprache/Antrag notwendig
1429582.03153197,6598650.60544149,15,15,"Röhrsdorfer Allee, Gewerbegebiet",45,kostenfrei,"Bus 96 Richtung Chemnitz Center; Regionalbus 650 Richtung Chemnitz Omnibusbahnhof, Bus 21 nur abends"
1426399.2090361,6593112.43830443,16,16,"Oberfrohnaer Straße, Parkplatz Stausee Oberrabenstein",,nach Absprache,Absprache/Antrag notwendig
1439582.8844324,6593009.14459336,17,17,"Dresdner Straße, Fernbusterminal stadtwärts, zwischen Peterstraße und Gießerstraße",nach Absprache,nach Absprache,Absprache/Antrag notwendig
