X,Y,OBJECTID,NUMMER,LAGE,KAPAZITAET,KOSTEN,BEMERKUNG
1439213.4355279,6591405.40845431,1,1,Theresenstraße,3,nach Gebührenzone 2,
1437590.64568603,6590895.19281354,2,2,Am Walkgraben,3,nach Gebührenzone 2,
1439017.65212566,6592269.35284822,3,3,Waisenstraße,10,nach Gebührenzone 1,
1439261.76058932,6592449.14937392,4,4,Hauptbahnhof,3,nach Gebührenzone 1,
1438748.15572503,6593004.09837042,5,5,Karl-Liebknecht-Straße,3,nach Gebührenzone 1,
1439544.10084304,6591740.72032686,6,6,Hainstraße,3,nach Gebührenzone 2,
1437772.94660231,6592896.1033431,7,7,Theunertstraße,3,nach Gebührenzone 2,
1437841.39423889,6593209.35260286,8,8,Promenadenstraße,3,nach Gebührenzone 2,
1437664.908672,6592093.15923847,9,10,Fabrikstraße,3,nach Gebührenzone 1,
1437372.38874877,6592701.80566394,10,9,Hartmannstraße,3,gebührenfrei,
1437964.25080818,6591037.73525701,11,11,Aue,3,gebührenfrei,
1435364.08659685,6595001.92768107,12,12,Jutta Müller Eissportzentrum Chemnitz,10,N.N.,ab Frühjahr 2025 verfügbar
1435229.91065853,6580681.58798851,13,13,Würschnitztalstraße,6,gebührenfrei,
